الرقم,اسم المدرسة ,البريد الالكتروني ,رقم الهاتف,رقم المحمول,تصنيف المدرسة ,مرحلة المدرسة ,موقع المدرسة
88,يسرى النتشة الأساسية للبنين,26111304@hebron.edu.ps,02-22230654,0562501718,ذكور,عليا,الخليل
89,ربعي الشريف الأساسية للبنات,26111305@hebron.edu.ps,02-22242524,0562501824,إناث,عليا,الخليل
90,راضي النتشة الأساسية للبنات,26111312@hebron.edu.ps,02-22228580,0562501759,إناث,عليا,الخليل
91,الشهيد ناصر الدين ناصر الدين الأساسية للبنات,26111350@hebron.edu.ps,02-22216456,0562501782,إناث,عليا,الخليل
92,رجب عبد الرزاق المحتسب الأساسية للبنات,26111351@hebron.edu.ps,02-22216165,0562501741,إناث,عليا,الخليل
93,اليقظة الأساسية للبنين,26111353@hebron.edu.ps,02-22228063,0562501764,ذكور,دنيا,الخليل
94,وصايا الرسول الأساسية للبنات,26111354@hebron.edu.ps,02-22236970,0562501714,إناث,عليا,الخليل
95,زيد بن ثابت الأساسية للبنين,26111356@hebron.edu.ps,02-22221063,0562501786,ذكور,عليا,الخليل
96,عمار بن ياسر الأساسية للبنين,26111357@hebron.edu.ps,02-22236213,0562501794,ذكور,عليا,الخليل
97,سعدية الحداد الأساسية المختلطة,26111358@hebron.edu.ps,02-22221030,0562501797,إناث,عليا,الخليل
98,الكورية الفلسطينية الأساسية للبنين,26111359@hebron.edu.ps,02-22288181,0562501799,ذكور,عليا,الخليل
99,محمود أبو غزالة الأساسية للبنات,26111360@hebron.edu.ps,02-22238264,0562501798,إناث,دنيا,الخليل
100,إسماعيل النتشة الأساسية للبنين,26111361@hebron.edu.ps,02-22258875,0562501800,ذكور,عليا,الخليل
101,فاطمة إدكيدك الأساسية للبنات,26111362@hebron.edu.ps,02-22258654,0562501801,إناث,عليا,الخليل
102,عايش السيد الأساسية للبنين,26111363@hebron.edu.ps,02-22242333,0562501802,ذكور,عليا,الخليل
103,فلسطين الأساسية للبنات,26111364@hebron.edu.ps,02-22239204,0562501803,إناث,عليا,الخليل
104,الإستقلال الأساسية للبنين,26111365@hebron.edu.ps,02-22215996,0562501804,ذكور,عليا,بيت كاحل
105,المنارة الأساسية للبنات,26111366@hebron.edu.ps,02-22241285,0562501806,إناث,عليا,تفوح
106,يافا الأساسية للبنات,26111369@hebron.edu.ps,02-22212854,0562501099,إناث,عليا,بيت كاحل
107,المنشر الأساسية للبنات,26111370@hebron.edu.ps,02-22251425,0562501809,إناث,عليا,الخليل
108,الدويك الأساسية للبنين,26111371@hebron.edu.ps,02-22229121,0562501811,ذكور,عليا,الخليل
109,التركية الفلسطينية الأساسية للبنين,26111372@hebron.edu.ps,02-22222688,0562501812,ذكور,عليا,الخليل
110,دار المعرفة الأساسية للبنين,26111373@hebron.edu.ps,02-22229122,0562501810,ذكور,عليا,الخليل
111,المتنبي الأساسية للبنين,26111374@hebron.edu.ps,02-22257194,0562501813,ذكور,عليا,بيت كاحل
112,عسقلان الأساسية للبنين,26111375@hebron.edu.ps,02-22583067,0562501814,ذكور,عليا,ترقوميا
113,جبريل زلوم الأساسية للبنين,26111376@hebron.edu.ps,02-22216959,0562501815,ذكور,عليا,الخليل
114,د. حافظ عبد النبي النتشة الأساسية للبنات,26111377@hebron.edu.ps,02-22230322,0562501817,إناث,عليا,الخليل
115,عزية الشويكي الأساسية للبنات,26111378@hebron.edu.ps,02-22216958,0562501807,إناث,عليا,الخليل
116,بيسان الأساسية للبنات,26111379@hebron.edu.ps,02-22242916,0562501816,إناث,عليا,الخليل
117,الشهيد عثمان القصراوي الأساسية للبنات,26111380@hebron.edu.ps,02-22238759,0562501818,إناث,عليا,الخليل
118,الشيخ علي الشاذلي الكركي الأساسية للبنات,26111381@hebron.edu.ps,02-22232552,0562501825,إناث,عليا,الخليل
119,الشهيد غازي القواسمي الأساسية للبنين,26111382@hebron.edu.ps,02-22232556,0562501820,ذكور,عليا,الخليل
120,السعدية الأساسية للبنين,26111383@hebron.edu.ps,02-22292297,0562501742,ذكور,دنيا,الخليل
121,الحاج حمدي قفيشة الأساسية للبنات,26111384@hebron.edu.ps,02-22298793,0562501826,إناث,عليا,الخليل
122,الحاج محمد عبد القادر القواسمي الأساسية للبنين,26111385@hebron.edu.ps,02-22240288,0562501958,ذكور,عليا,الخليل
123,أبو بكر الصديق الأساسية المختلطة,26111386@hebron.edu.ps,02-22245284,0562501953,مختلطة,عليا,تفوح
124,الحاج إسحق أبو ميالة الأساسية المختلطة,26111388@hebron.edu.ps,02-22232662,0562501954,مختلطة,عليا,الخليل
125,آل عمرو الأساسية للبنين,26111390@hebron.edu.ps,02-22250890,0562501158,ذكور,عليا,الخليل
126,عبد العزيز رضوان ابواسنينه المهنية للبنين,26111391@hebron.edu.ps,02-22230344,0562501962,ذكور,عليا,الخليل
127,الكرامة الأساسية للبنين,26111392@hebron.edu.ps,02-22239475,0562501589,ذكور,دنيا,الخليل
128,الحاج فضل عابدين الثانوية المهنية للبنات,26111393@hebron.edu.ps,02-22243896,0562501587,إناث,عليا,الخليل
129,الحاج مصطفى مكاوي الأطرش الأساسية للبنات,26111394@hebron.edu.ps,02-22239477,0562501588,إناث,عليا,الخليل
130,قشقلة الثانوية للبنين,26111396@hebron.edu.ps,02-22214983,0562501084,ذكور,عليا,الخليل
131,نظمي الحداد الأساسية للبنين,26111397@hebron.edu.ps,02-22254230,0562501523,ذكور,عليا,الخليل
132,عبد الحي شاور الأساسية للبنين,26111398@hebron.edu.ps,02-22238501,0562501055,إناث,عليا,الخليل
133,الشهيد ياسر عرفات الأساسية للبنين,26111399@hebron.edu.ps,02-22241347,0562501171,ذكور,عليا,تفوح
134,عزية النتشة الثانوية للبنات,26111404@hebron.edu.ps,,0562502167,إناث,عليا,الخليل
135,نيروخ الأساسية للبنين,26111403@hebron.edu.ps,,0562502617,ذكور,عليا,الخليل
136,مليحة شاور الأساسية للبنات,26111405@hebron.edu.ps,,0562503290,إناث,عليا,الخليل
137,محمد خيري زلوم الأساسية المختلطة,26111406@hebron.edu.ps,,0562503293,مختلطة,دنيا,الخليل
138,أهل الخير الأساسية المختلطة,26111407@hebron.edu.ps,,0562503292,مختلطة,دنيا,ترقوميا
139,السيدة صفية ام المؤمنين الأساسية للبنات,26111408@hebron.edu.ps,,0562503291,إناث,عليا,الخليل
140,عواطف غيث الأساسية للبنين,26111409@hebron.edu.ps,,0562501795,ذكور,عليا,الخليل
141,كروم الغرابة الأساسية للبنين,26111410@hebron.edu.ps,,0562503294,ذكور,دنيا,الخليل
142,صلاح أبو منشار الثانوية للبنات,26111411@hebron.edu.ps,,0562503288,إناث,عليا,الخليل
143,إيمان شاهين الأساسية للبنات,26111412@hebron.edu.ps,,0562503287,إناث,دنيا,الخليل
144,الغزالي الأساسية للبنين,26112023@hebron.edu.ps,02-22583803,0562501784,ذكور,عليا,ترقوميا
145,ترقوميا الأساسية للبنين,26112024@hebron.edu.ps,02-22584777,0562501785,ذكور,عليا,ترقوميا
146,صفد الأساسية للبنات,26112025@hebron.edu.ps,02-22224543,0562501823,إناث,دنيا,بيت كاحل
147,شهداء تفوح الأساسية للبنين,26112026@hebron.edu.ps,02-22241546,0562501722,ذكور,دنيا,تفوح
148,تفوح الثانوية للبنات,26112031@hebron.edu.ps,02-22241602,0562501733,إناث,عليا,تفوح
149,رشدية المحتسب الثانوية للبنات,26112077@hebron.edu.ps,02-22223844,0562501731,إناث,عليا,الخليل
150,عبد الخالق يغمور الأساسية للبنات,26112078@hebron.edu.ps,02-22221620,0562501736,إناث,عليا,الخليل
151,بيت كاحل الأساسية للبنات,26112110@hebron.edu.ps,02-22292181,0562501778,إناث,عليا,بيت كاحل
152,أم سلمة الأساسية للبنات,26112112@hebron.edu.ps,02-22584404,0562501793,إناث,عليا,ترقوميا
153,ترقوميا الثانوية للبنات,26112185@hebron.edu.ps,02-22583777,0562501789,إناث,عليا,ترقوميا
154,ترقوميا الثانوية للبنين,26112191@hebron.edu.ps,02-22583195,0562501783,ذكور,عليا,ترقوميا
155,الشهيد داود العطاونة الثانوية للبنين,26112197@hebron.edu.ps,02-22257769,0562501685,ذكور,عليا,بيت كاحل
156,النور الأساسية للبنين,26112198@hebron.edu.ps,02-22241052,0562501721,ذكور,عليا,تفوح
157,نصار العصافرة الثانوية للبنات,26112200@hebron.edu.ps,02-22257490,0562501730,إناث,عليا,بيت كاحل
158,تفوح الثانوية للبنين,26112202@hebron.edu.ps,02-22241068,0562501686,ذكور,عليا,تفوح
159,تفوح الأساسية للبنات,26112205@hebron.edu.ps,02-22241830,0562501779,إناث,دنيا,تفوح
160,ترقوميا الأساسية للبنات,26112208@hebron.edu.ps,02-22583547,0562501790,إناث,عليا,ترقوميا
161,الأقصى الأساسية للبنات,26112209@hebron.edu.ps,02-22584864,0562501791,إناث,عليا,الخليل
162,شهداء ترقوميا الأساسية للبنين,26112243@hebron.edu.ps,02-22584110,0562501788,ذكور,عليا,ترقوميا
163,السيدة زينب الأساسية للبنات,26112266@hebron.edu.ps,02-22241163,0562501780,إناث,عليا,تفوح
164,عثمان بن عفان الأساسية للبنين,26112276@hebron.edu.ps,02-22241479,0562501723,ذكور,عليا,تفوح
165,الأمير قيس الأساسية للبنات,26112290@hebron.edu.ps,02-22584318,0562501792,إناث,عليا,ترقوميا
166,شهداء الحرم الابراهيمي الأساسية للبنات,26112293@hebron.edu.ps,02-22298308,0562501776,إناث,عليا,الخليل
167,الخنساء الأساسية المختلطة,26112297@hebron.edu.ps,02-22241431,0562501781,مختلطة,عليا,تفوح
168,قلقس الثانوية للبنات,26112298@hebron.edu.ps,02-22270525,0562501777,إناث,عليا,الخليل
